natural_query	sql_query	result	from_to_where	after_froM	after_from
What is the win percentage for the Golden State Warriors in home games where they made fewer three-pointers than their opponent?	SELECT COUNT(CASE WHEN wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game WHERE team_name_home = 'Golden State Warriors' AND fg3m_home < fg3m_away;	44.95677233	game	game	game
What was the highest combined total of blocks in any game between the Utah Jazz and San Antonio Spurs?	SELECT MAX(blk_home + blk_away) AS total_blocks FROM game WHERE (team_name_home = 'Utah Jazz' AND team_name_away = 'San Antonio Spurs') OR (team_name_home = 'San Antonio Spurs' AND team_name_away = 'Utah Jazz');	26	game	game	game
Which season saw the Philadelphia 76ers record their highest average number of steals per game at home?	SELECT season_id, AVG(stl_home) AS avg_steals FROM game WHERE team_name_home = 'Philadelphia 76ers' GROUP BY season_id ORDER BY avg_steals DESC LIMIT 1;	12021 | 17.0 	game	game	game
What was the shooting percentage from the field for the New York Knicks in their highest scoring home game of the 2019 season?	SELECT fg_pct_home AS shooting_percentage FROM game WHERE team_name_home = 'New York Knicks' AND season_id = '22019' ORDER BY pts_home DESC LIMIT 1;	0.558	game	game	game
What was the difference in average free throw attempts between the Brooklyn Nets and their opponents in home games during the 2020 season?	SELECT AVG(fta_home - fta_away) AS fta_diff FROM game WHERE team_name_home = 'Brooklyn Nets' AND season_id = '22020';	1.083333333	game	game	game
Which opponent did the Denver Nuggets score the most points against in a single home game?	SELECT team_name_away, MAX(pts_home) AS max_points FROM game WHERE team_name_home = 'Denver Nuggets' GROUP BY team_name_away ORDER BY max_points DESC LIMIT 1;	Detroit Pistons | 184.0 	game	game	game
What is the average combined offensive rebounds for the Oklahoma City Thunder and their opponents in games where the Thunder won at home?	SELECT AVG(oreb_home + oreb_away) AS avg_combined_oreb FROM game WHERE team_name_home = 'Oklahoma City Thunder' AND wl_home = 'W';	21.8691358	game	game	game
What was the largest margin of defeat for the Los Angeles Clippers in any home game during the 2018 season?	SELECT MAX(pts_away - pts_home) AS largest_defeat_margin FROM game WHERE team_name_home = 'LA Clippers' AND pts_away > pts_home AND season_id = '22018';	32	game	game	game
What is the average number of points scored by the Los Angeles Clippers in home games during the 2019 season?	SELECT AVG(pts_home) AS avg_points FROM game WHERE team_name_home = 'LA Clippers' AND season_id = '22019';	117.5277778	game	game	game
When was the Los Angeles Clippers team founded according to the team database?	SELECT year_founded FROM team WHERE full_name = 'Los Angeles Clippers';	1970	team	team	team
What is the win percentage of the Los Angeles Clippers in home games where they scored more than 110 points?	SELECT COUNT(CASE WHEN wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game WHERE team_name_home = 'LA Clippers' AND pts_home > 110;	83.24324324	game	game	game
What state are the Los Angeles Clippers based in according to the team table?	SELECT state FROM team WHERE full_name = 'Los Angeles Clippers';	California	team	team	team
What was the three-point shooting percentage for the Los Angeles Clippers in games against the Los Angeles Lakers?	SELECT AVG(   CASE      WHEN team_name_home = 'LA Clippers' THEN fg3_pct_home     ELSE fg3_pct_away   END ) AS avg_3pt_percentage FROM game WHERE (team_name_home = 'LA Clippers' AND team_name_away = 'Los Angeles Lakers')    OR (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'LA Clippers');	0.3734705882	game	game	game
What is the abbreviation for the Los Angeles Clippers in the team table?	SELECT abbreviation FROM team WHERE full_name = 'Los Angeles Clippers';	LAC	team	team	team
Which team played the most total games (home + away) between 1995 and 2005?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM game WHERE season_id BETWEEN '21995' AND '22005' UNION ALL SELECT team_abbreviation_away FROM game WHERE season_id BETWEEN '21995' AND '22005') GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	WAS	(SELECT team_abbreviation_home AS team FROM game	game	game
Which team has the highest win percentage as a home team?	SELECT team_abbreviation_home FROM game GROUP BY team_abbreviation_home HAVING COUNT(*) > 0 ORDER BY SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END)*1.0 / COUNT(*) DESC LIMIT 1;	MAL		game	game
Which season had the highest average free throw percentage for home teams?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(ft_pct_home) DESC LIMIT 1;	21951		game	game
Which team had the most games where both teams scored over 110 points?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM game WHERE pts_home > 110 AND pts_away > 110 UNION ALL SELECT team_abbreviation_away FROM game WHERE pts_home > 110 AND pts_away > 110) GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	LAL	(SELECT team_abbreviation_home AS team FROM game	game	game
Which team had the highest average number of assists per game across all seasons?	SELECT team FROM (SELECT team_abbreviation_home AS team, ast_home AS ast FROM game UNION ALL SELECT team_abbreviation_away, ast_away FROM game) GROUP BY team ORDER BY AVG(ast) DESC LIMIT 1;	DRT		game	game
Which city had the most games where the home team won by more than 25 points?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE wl_home = 'W' AND pts_home - pts_away > 25) GROUP BY team_city_home ORDER BY COUNT(*) DESC LIMIT 1;	Golden State	other_stats	other_stats	other_stats
Which team was involved in the most games with more than 15 lead changes?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM other_stats WHERE lead_changes > 15 UNION ALL SELECT team_abbreviation_away FROM other_stats WHERE lead_changes > 15) GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	LAL	(SELECT team_abbreviation_home AS team FROM other_stats	other_stats	other_stats
Which season had the most games decided by 3 points or fewer?	SELECT season_id FROM game WHERE ABS(pts_home - pts_away) <= 3 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22004	game	game	game
Which team had the most losses in games where they had more rebounds than their opponent?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM game WHERE reb_home > reb_away AND wl_home = 'L' UNION ALL SELECT team_abbreviation_away FROM game WHERE reb_away > reb_home AND wl_away = 'L') GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	NYK	(SELECT team_abbreviation_home AS team FROM game	game	game
Which season had the most average total fouls per game?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(pf_home + pf_away) DESC LIMIT 1;	41963		game	game
Which team committed the fewest average personal fouls per game as an away team?	SELECT team_abbreviation_away FROM game GROUP BY team_abbreviation_away ORDER BY AVG(pf_away) ASC LIMIT 1;	DRT		game	game
How many times did the Golden State Warriors lose at home in the 2012 season despite recording more steals and blocks than their opponent?	SELECT COUNT(*) FROM game g WHERE g.team_abbreviation_home = 'GSW' AND g.wl_home = 'L' AND g.stl_home > g.stl_away AND g.blk_home > g.blk_away AND g.season_id = '22012';	0	game g	game	game
How many times did the Los Angeles Clippers lose at home in the 2002 season despite recording more steals and blocks than their opponent?	SELECT COUNT(*) FROM game g WHERE g.team_abbreviation_home = 'LAC' AND g.wl_home = 'L' AND g.stl_home > g.stl_away AND g.blk_home > g.blk_away AND g.season_id = '22002';	4	game g	game	game
In games from the 2003 season, how often did the New Orleans Pelicans win despite committing more turnovers and having fewer rebounds than their opponent?	SELECT COUNT(*) FROM game g WHERE ((g.team_abbreviation_home = 'NOP' AND g.wl_home = 'W' AND g.tov_home > g.tov_away AND g.reb_home < g.reb_away) OR (g.team_abbreviation_away = 'NOP' AND g.wl_away = 'W' AND g.tov_away > g.tov_home AND g.reb_away < g.reb_home)) AND g.season_id = '22003';	0	game g	game	game
In games from the 2007 season, how often did the Dallas Mavericks win despite committing more turnovers and having fewer rebounds than their opponent?	SELECT COUNT(*) FROM game g WHERE ((g.team_abbreviation_home = 'DAL' AND g.wl_home = 'W' AND g.tov_home > g.tov_away AND g.reb_home < g.reb_away) OR (g.team_abbreviation_away = 'DAL' AND g.wl_away = 'W' AND g.tov_away > g.tov_home AND g.reb_away < g.reb_home)) AND g.season_id = '22007';	2	game g	game	game
How many times did the Denver Nuggets lose at home in the 2015 season despite recording more steals and blocks than their opponent?	SELECT COUNT(*) FROM game g WHERE g.team_abbreviation_home = 'DEN' AND g.wl_home = 'L' AND g.stl_home > g.stl_away AND g.blk_home > g.blk_away AND g.season_id = '22015';	2	game g	game	game
In games from the 2010 season, how often did the Sacramento Kings win despite committing more turnovers and having fewer rebounds than their opponent?	SELECT COUNT(*) FROM game g WHERE ((g.team_abbreviation_home = 'SAC' AND g.wl_home = 'W' AND g.tov_home > g.tov_away AND g.reb_home < g.reb_away) OR (g.team_abbreviation_away = 'SAC' AND g.wl_away = 'W' AND g.tov_away > g.tov_home AND g.reb_away < g.reb_home)) AND g.season_id = '22010';	0	game g	game	game
Which city hosted the most games that ended with both teams scoring over 100 points?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE pts_home > 100 AND pts_away > 100) GROUP BY team_city_home ORDER BY COUNT(*) DESC LIMIT 1;	Los Angeles	other_stats	other_stats	other_stats
Which city had the most total fast break points in the 2016 season?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE season_id = '22016') GROUP BY team_city_home ORDER BY SUM(pts_fb_home) DESC LIMIT 1;	Golden State	other_stats	other_stats	other_stats
Which season had the most games decided by exactly 1 point?	SELECT season_id FROM game WHERE ABS(pts_home - pts_away) = 1 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22004	game	game	game
Which season had the most total points scored across all games?	SELECT season_id FROM game GROUP BY season_id ORDER BY SUM(pts_home + pts_away) DESC LIMIT 1;	22022		game	game
Which season had the most games where both teams scored at least 120 points?	SELECT season_id FROM game WHERE pts_home >= 120 AND pts_away >= 120 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22022	game	game	game
Which season had the lowest average number of personal fouls committed per game?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(pf_home + pf_away) ASC LIMIT 1;	32022		game	game
How many points did the Los Angeles Clippers score as visitors in their most turnover-heavy game?	SELECT pts_away FROM game WHERE team_abbreviation_away = 'LAC' ORDER BY tov_away DESC LIMIT 1;	107.0	game	game	game
Which season had the most games where the away team won by more than 30 points?	SELECT season_id FROM game WHERE wl_away = 'W' AND (pts_away - pts_home) > 30 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22021	game	game	game
Which season had the fewest total three-point attempts attempted league-wide?	SELECT season_id FROM game GROUP BY season_id ORDER BY SUM(fg3a_home + fg3a_away) ASC LIMIT 1;	21946		game	game
How many points did the home team score in the game with the fewest total rebounds?	SELECT pts_home FROM game ORDER BY (reb_home + reb_away) ASC LIMIT 1;	66.0		game	game
How many points were scored in a game where the home team blocked more shots than they had turnovers?	SELECT (pts_home + pts_away) FROM game WHERE blk_home > tov_home ORDER BY game_date DESC LIMIT 1;	208.0	game	game	game
How many points did the Phoenix Suns score in the highest scoring away game they played?	SELECT MAX(pts_away) FROM game WHERE team_abbreviation_away = 'PHX';	161.0	game	game	game
What were the total points in a game where both teams shot over 50% from the field?	SELECT (pts_home + pts_away) FROM game WHERE fg_pct_home > 0.5 AND fg_pct_away > 0.5 ORDER BY (pts_home + pts_away) DESC LIMIT 1;	374.0	game	game	game
How many points did the home team score in the game with the most second chance points?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats ORDER BY (pts_2nd_chance_home + pts_2nd_chance_away) DESC LIMIT 1);	115.0	game	game	game
How many points did the Los Angeles Lakers score in their last home game?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'LAL' ORDER BY game_date DESC LIMIT 1;	111.0	game	game	game
How many points did the away team score in games where the home team had more rebounds?	SELECT SUM(pts_away) FROM game WHERE reb_home > reb_away;	2702764.0	game	game	game
How many points were scored in the earliest recorded game in the database?	SELECT (pts_home + pts_away) FROM game ORDER BY game_date ASC LIMIT 1;	134.0		game	game
What were the total points scored by the home team in the game with the most total blocks?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM game ORDER BY (blk_home + blk_away) DESC LIMIT 1);	92.0	game	game	game
How many points did the Brooklyn Nets score in their first away game in 2010?	SELECT pts_away FROM game WHERE team_abbreviation_away = 'BKN' AND season_id = '22010' ORDER BY game_date ASC LIMIT 1;	[]	game	game	game
How many points did the home team score in the game with the highest number of lead changes?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats ORDER BY lead_changes DESC LIMIT 1);	122.0	game	game	game
How many points did the visiting team score in the game where the home team had exactly 0 turnovers?	SELECT pts_away FROM game WHERE game_id IN (SELECT game_id FROM game WHERE tov_home = 0);	88.0,112.0,105.0,93.0,76.0,99.0	game	game	game
How many points were scored by the away team in the most recent playoff game?	SELECT pts_away FROM game WHERE season_type = 'Playoffs' ORDER BY game_date DESC LIMIT 1;	89.0	game	game	game
How many points did the Miami Heat score in their lowest-scoring game at home?	SELECT MIN(pts_home) FROM game WHERE team_abbreviation_home = 'MIA';	56.0	game	game	game
How many total points were scored in a game where both teams attempted over 30 three-pointers?	SELECT (pts_home + pts_away) FROM game WHERE fg3a_home > 30 AND fg3a_away > 30 ORDER BY (pts_home + pts_away) DESC LIMIT 1;	374.0	game	game	game
How many points were scored by the home team in the game with the most fast break points?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats ORDER BY (pts_fb_home + pts_fb_away) DESC LIMIT 1);	192.0,192.0	game	game	game
How many points did the away team score when the home team had more than 20 offensive rebounds?	SELECT SUM(pts_away) FROM game WHERE game_id IN (SELECT game_id FROM game WHERE oreb_home > 20);	199836.0	game	game	game
How many points did the Chicago Bulls score in their final game of the 1996 season?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'CHI' AND season_id = '21996' ORDER BY game_date DESC LIMIT 1;	101.0	game	game	game
What is the total number of points in a game where the total number of three-pointers made equals the number of personal fouls?	SELECT pts_home + pts_away FROM game WHERE (fg3m_home + fg3m_away) = (pf_home + pf_away) LIMIT 1;	211.0	game	game	game
How many points did the away team score in the only game where the home team had exactly 69 field goal attempts?	SELECT pts_away FROM game WHERE fga_home = 69 LIMIT 1;	81.0	game	game	game
What was the total number of points in the game where both teams had the exact same number of personal fouls?	SELECT pts_home + pts_away FROM game WHERE pf_home = pf_away ORDER BY game_date DESC LIMIT 1;	258.0	game	game	game
How many points did the away team score in a game where both teams made the same number of three-pointers?	SELECT pts_away FROM game WHERE fg3m_home = fg3m_away ORDER BY game_date DESC LIMIT 1;	101.0	game	game	game
How many points were scored in the most recent game where the home team had zero free throw attempts?	SELECT pts_home + pts_away FROM game WHERE fta_home = 0 ORDER BY game_date DESC LIMIT 1;	359.0	game	game	game
How many points did the Brooklyn Nets score as a home team in the game where they had the most blocks?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'BKN' ORDER BY blk_home DESC LIMIT 1;	115.0	game	game	game
How many total points were scored in a game where the away team committed twice as many turnovers as the home team?	SELECT pts_home + pts_away FROM game WHERE tov_away = 2 * tov_home LIMIT 1;	205.0	game	game	game
What was the total number of points in the only game where both teams had fewer than 3 offensive rebounds?	SELECT pts_home + pts_away FROM game WHERE oreb_home < 3 AND oreb_away < 3 ORDER BY game_date DESC LIMIT 1;	211.0	game	game	game
How many points did the Miami Heat score in their lowest scoring home win?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'MIA' AND wl_home = 'W' ORDER BY pts_home ASC LIMIT 1;	74.0	game	game	game
What was the total score of the first game ever where both teams shot over 90% from the free throw line?	SELECT pts_home + pts_away FROM game WHERE ft_pct_home > 0.9 AND ft_pct_away > 0.9 ORDER BY game_date ASC LIMIT 1;	193.0	game	game	game
Which team was most often held under 60 points in a game?	SELECT team FROM (SELECT team_abbreviation_home AS team, pts_home AS pts FROM game UNION ALL SELECT team_abbreviation_away, pts_away FROM game) WHERE pts < 60 GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	BOS	(SELECT team_abbreviation_home AS team, pts_home AS pts FROM game UNION ALL SELECT team_abbreviation_away, pts_away FROM game)	game	game
Which city had teams that scored the most total points during the 2010 season?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE season_id = '22010') GROUP BY team_city_home ORDER BY SUM(pts_paint_home + pts_2nd_chance_home + pts_fb_home + pts_off_to_home) DESC LIMIT 1;	Los Angeles	other_stats	other_stats	other_stats
Which city had home teams with the highest average number of rebounds in 2005?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE season_id = '22005') GROUP BY team_city_home ORDER BY AVG(team_rebounds_home) DESC LIMIT 1;	Orlando	other_stats	other_stats	other_stats
Which season had the most total blocks recorded?	SELECT season_id FROM game GROUP BY season_id ORDER BY SUM(blk_home + blk_away) DESC LIMIT 1;	22000		game	game
What was the total score of the only game in which the home team made exactly 33 field goals?	SELECT pts_home + pts_away FROM game WHERE fgm_home = 33 LIMIT 1;	144.0	game	game	game
How many points did the away team score in a game where the home team had a plus-minus of -30 or worse?	SELECT pts_away FROM game WHERE plus_minus_home <= -30 ORDER BY plus_minus_home ASC LIMIT 1;	127.0	game	game	game
What was the total number of points in the only game where the sum of both teams' free throws made was exactly 42?	SELECT pts_home + pts_away FROM game WHERE (ftm_home + ftm_away) = 42 LIMIT 1;	156.0	game	game	game
How many points were scored by the Orlando Magic at home in a game with more than 100 combined rebounds?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'ORL' AND (reb_home + reb_away) > 100 ORDER BY game_date DESC LIMIT 1;	116.0	game	game	game
How many points did the visiting team score in the first game where the home team committed fewer than 5 personal fouls?	SELECT pts_away FROM game WHERE pf_home < 5 ORDER BY game_date ASC LIMIT 1;	81.0	game	game	game
How many total points were scored in the only game where both teams had identical stat lines for rebounds, assists, and turnovers?	SELECT pts_home + pts_away FROM game WHERE reb_home = reb_away AND ast_home = ast_away AND tov_home = tov_away LIMIT 1;	209.0	game	game	game
Which team had the highest number of team turnovers in an away game?	SELECT team_abbreviation_away FROM other_stats ORDER BY team_turnovers_away DESC LIMIT 1;	CHI		other_stats	other_stats
Which away team scored the most points off turnovers in a single game?	SELECT team_abbreviation_away FROM other_stats ORDER BY pts_off_to_away DESC LIMIT 1;	ATL		other_stats	other_stats
What was the total number of points off turnovers by away teams when they committed more than 20 total turnovers?	SELECT SUM(pts_off_to_away) FROM other_stats WHERE total_turnovers_away > 20;	45727	other_stats	other_stats	other_stats
Which game had the biggest difference between total turnovers and team turnovers for the away team?	SELECT game_id FROM other_stats ORDER BY ABS(total_turnovers_away - team_turnovers_away) DESC LIMIT 1;	29600522		other_stats	other_stats
What is the highest number of team rebounds recorded by an away team in a single game?	SELECT MAX(team_rebounds_away) FROM other_stats;	24		other_stats	other_stats
How many points off turnovers were scored by away teams in games where they had more team rebounds than the home team?	SELECT SUM(pts_off_to_away) FROM other_stats WHERE team_rebounds_away > team_rebounds_home;	169555	other_stats	other_stats	other_stats
Which team committed the fewest total turnovers in an away game that resulted in a win?	SELECT team_abbreviation_away FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE wl_away = 'W') ORDER BY total_turnovers_away ASC LIMIT 1;	PHX	other_stats	other_stats	other_stats
Which game had the most efficient away team in terms of points off turnovers per total turnover?	SELECT game_id FROM other_stats WHERE total_turnovers_away > 0 ORDER BY (pts_off_to_away * 1.0 / total_turnovers_away) DESC LIMIT 1;	0021500879	other_stats	other_stats	other_stats
Which team had the most games where their team rebounds as away team were greater than 15?	SELECT team_abbreviation_away FROM other_stats WHERE team_rebounds_away > 15 GROUP BY team_abbreviation_away ORDER BY COUNT(*) DESC LIMIT 1;	UTA	other_stats	other_stats	other_stats
What is the average number of points off turnovers for away teams with fewer than 10 total turnovers?	SELECT AVG(pts_off_to_away) FROM other_stats WHERE total_turnovers_away < 10;	8.900039200313602	other_stats	other_stats	other_stats
Which away team had the most games where they shot below 30% from the field?	SELECT team_abbreviation_away FROM game WHERE fg_pct_away < 0.3 GROUP BY team_abbreviation_away ORDER BY COUNT(*) DESC LIMIT 1;	PHW	game	game	game
Which away team scored the most points in a game with fewer than 10 assists?	SELECT team_abbreviation_away FROM game WHERE ast_away < 10 ORDER BY pts_away DESC LIMIT 1;	MNL	game	game	game
Which team had the most away wins when committing more personal fouls than the home team?	SELECT team_abbreviation_away FROM game WHERE wl_away = 'W' AND pf_away > pf_home GROUP BY team_abbreviation_away ORDER BY COUNT(*) DESC LIMIT 1;	BOS	game	game	game
Which game had the highest total of missed free throws by the away team?	SELECT game_id FROM game ORDER BY (fta_away - ftm_away) DESC LIMIT 1;	0027300014		game	game
Which away team had the lowest free throw percentage in a game with more than 20 attempts?	SELECT team_abbreviation_away FROM game WHERE fta_away > 20 ORDER BY ft_pct_away ASC LIMIT 1;	CHI	game	game	game
What is the average number of three-pointers made by away teams in games where they had more turnovers than assists?	SELECT AVG(fg3m_away) FROM game WHERE tov_away > ast_away;	4.511052937754508	game	game	game
Which game had the most defensive rebounds by an away team that still lost?	SELECT game_id FROM game WHERE wl_away = 'L' ORDER BY dreb_away DESC LIMIT 1;	0028500331	game	game	game
Which away team committed the most turnovers in a game where they still won?	SELECT team_abbreviation_away FROM game WHERE wl_away = 'W' ORDER BY tov_away DESC LIMIT 1;	NJN	game	game	game
Which team had the most away games where they had more offensive than defensive rebounds?	SELECT team_abbreviation_away FROM game WHERE oreb_away > dreb_away GROUP BY team_abbreviation_away ORDER BY COUNT(*) DESC LIMIT 1;	ATL	game	game	game
What is the highest plus-minus recorded by an away team with fewer than 10 personal fouls?	SELECT MAX(plus_minus_away) FROM game WHERE pf_away < 10;	35	game	game	game
Which home team had the most wins when playing against the Los Angeles Lakers?	SELECT team_name_home FROM game WHERE team_name_away = 'Los Angeles Lakers' AND wl_home = 'W' GROUP BY team_name_home ORDER BY COUNT(*) DESC LIMIT 1;	Phoenix Suns	game	game	game
Which game had the most field goals made by a home team that shot under 40% from the field?	SELECT game_id FROM game WHERE fg_pct_home < 0.4 ORDER BY fgm_home DESC LIMIT 1;	0025900164	game	game	game
Which home team attempted the most three-pointers in a game they lost?	SELECT team_name_home FROM game WHERE wl_home = 'L' ORDER BY fg3a_home DESC LIMIT 1;	Team Giannis	game	game	game
What is the average number of free throws made in games where the home team had zero offensive rebounds?	SELECT AVG(ftm_home) FROM game WHERE oreb_home = 0;	10.0	game	game	game
Which game had the highest number of steals by a home team that still lost?	SELECT game_id FROM game WHERE wl_home = 'L' ORDER BY stl_home DESC LIMIT 1;	0028400118	game	game	game
Which home team had the most blocks in a game where the away team was the Boston Celtics?	SELECT team_name_home FROM game WHERE team_name_away = 'Boston Celtics' ORDER BY blk_home DESC LIMIT 1;	Philadelphia 76ers	game	game	game
Which home team committed the most turnovers in a game they won?	SELECT team_name_home FROM game WHERE wl_home = 'W' ORDER BY tov_home DESC LIMIT 1;	Los Angeles Lakers	game	game	game
Which game had the highest plus-minus for a home team that attempted fewer than 10 three-pointers?	SELECT game_id FROM game WHERE fg3a_home < 10 ORDER BY plus_minus_home DESC LIMIT 1;	0029100021	game	game	game
Which matchup featured the home team with the lowest field goal percentage but still won?	SELECT matchup_home FROM game WHERE wl_home = 'W' ORDER BY fg_pct_home ASC LIMIT 1;	PRO vs. BOS	game	game	game
Which home team made the most free throws in a game without any video available?	SELECT team_name_home FROM game WHERE video_available_home = 0 ORDER BY ftm_home DESC LIMIT 1;	Phoenix Suns	game	game	game
What is the average number of assists for home teams when playing against teams from Texas?	SELECT AVG(ast_home) FROM game WHERE team_abbreviation_away IN ('DAL', 'HOU', 'SAS');	23.22644697929869	game	game	game
Which game had the smallest difference between offensive and defensive rebounds for the home team?	SELECT game_id FROM game ORDER BY ABS(oreb_home - dreb_home) ASC LIMIT 1;	0024600001		game	game
Which home team scored the most points in a game where they had more turnovers than assists?	SELECT team_name_home FROM game WHERE tov_home > ast_home ORDER BY pts_home DESC LIMIT 1;	Seattle SuperSonics	game	game	game
Which matchup involved the home team attempting over 100 field goals?	SELECT matchup_home FROM game WHERE fga_home > 100 LIMIT 1;	BOM vs. NYK	game	game	game
What is the total number of points scored by home teams in games where they committed fewer than 5 personal fouls?	SELECT SUM(pts_home) FROM game WHERE pf_home < 5;	849.0	game	game	game
Which home team had the lowest field goal percentage in a game they still won?	SELECT team_name_home FROM game WHERE wl_home = 'W' ORDER BY fg_pct_home ASC LIMIT 1;	Providence Steamrollers	game	game	game
What is the average number of minutes played in home games with more than 15 steals?	SELECT AVG(min) FROM game WHERE stl_home > 15;	242.13254593175853	game	game	game
Which game had the highest number of free throw attempts by a home team that didn’t attempt any three-pointers?	SELECT game_id FROM game WHERE fg3a_home = 0 ORDER BY fta_home DESC LIMIT 1;	0028700044	game	game	game
Which home team had the most games with a positive plus-minus but still lost?	SELECT team_name_home FROM game WHERE wl_home = 'L' AND plus_minus_home > 0 GROUP BY team_name_home ORDER BY COUNT(*) DESC LIMIT 1;	West NBA All Stars West	game	game	game
Which home team had the most games with a perfect free throw percentage?	SELECT team_name_home FROM game WHERE ft_pct_home = 1.0 GROUP BY team_name_home ORDER BY COUNT(*) DESC LIMIT 1;	New York Knicks	game	game	game
Which matchup had the highest combined field goal attempts between home and away teams?	SELECT matchup_home FROM game ORDER BY (fga_home + fga_away) DESC LIMIT 1;	PHW vs. STL		game	game
What is the average plus-minus for home teams that made more three-pointers than two-pointers?	SELECT AVG(plus_minus_home) FROM game WHERE fg3m_home > (fgm_home - fg3m_home);	5.007518796992481	game	game	game
Which home team won a game with the fewest minutes recorded?	SELECT team_name_home FROM game WHERE wl_home = 'W' ORDER BY min ASC LIMIT 1;	St. Louis Bombers	game	game	game
Which game had the highest number of personal fouls committed by the home team where no video was available?	SELECT game_id FROM game WHERE video_available_home = 0 ORDER BY pf_home DESC LIMIT 1;	0046300222	game	game	game
Which team had the most games where they committed fewer than 5 turnovers at home?	SELECT team_name_home FROM game WHERE tov_home < 5 GROUP BY team_name_home ORDER BY COUNT(*) DESC LIMIT 1;	Dallas Mavericks	game	game	game
What is the average number of three-pointers attempted by home teams that lost by more than 20 points?	SELECT AVG(fg3a_home) FROM game WHERE wl_home = 'L' AND plus_minus_home < -20;	19.36683997689197	game	game	game
Which home team had the highest shooting percentage in a game where they made fewer than 20 field goals?	SELECT team_name_home FROM game WHERE fgm_home < 20 ORDER BY fg_pct_home DESC LIMIT 1;	Boston Celtics	game	game	game
What is the highest number of defensive rebounds recorded by a home team that didn’t make a single three-pointer?	SELECT MAX(dreb_home) FROM game WHERE fg3m_home = 0;	50.0	game	game	game
Which matchup had the most field goals made by the home team in a loss?	SELECT matchup_home FROM game WHERE wl_home = 'L' ORDER BY fgm_home DESC LIMIT 1;	LBN vs. GNS	game	game	game
Which team was founded first?	SELECT full_name FROM team ORDER BY year_founded ASC LIMIT 1;	Boston Celtics		team	team
Which team is based in the city of Chicago?	SELECT full_name FROM team WHERE city = 'Chicago';	Chicago Bulls	team	team	team
What is the abbreviation of the team nicknamed 'Heat'?	SELECT abbreviation FROM team WHERE nickname = 'Heat';	MIA	team	team	team
Which team was founded in the same year as the Boston Celtics?	SELECT full_name FROM team WHERE year_founded = (SELECT year_founded FROM team WHERE full_name = 'Boston Celtics');	Boston Celtics, Golden State Warriors, New York Knicks	team	team	team
Which teams are located in the state of California?	SELECT full_name FROM team WHERE state = 'California';	Golden State Warriors, Los Angeles Clippers, Los Angeles Lakers, Sacramento Kings	team	team	team
Which team has the abbreviation 'NYK'?	SELECT full_name FROM team WHERE abbreviation = 'NYK';	New York Knicks	team	team	team
Which teams were founded after the year 2000?	SELECT full_name FROM team WHERE year_founded > 2000;	New Orleans Pelicans	team	team	team
What is the city of the team with the nickname 'Bulls'?	SELECT city FROM team WHERE nickname = 'Bulls';	Chicago	team	team	team
