natural_query	sql_query	result
What was the average rebounding margin for the San Antonio Spurs in home games where they shot above 50% from the field?	SELECT AVG(reb_home - reb_away) AS avg_rebound_margin FROM game WHERE team_name_home = 'San Antonio Spurs' AND fg_pct_home > 0.5;	5.122781065
What was the difference in second-chance points between the Chicago Bulls and their opponents in their closest home game of the 2016 season?	SELECT o.pts_2nd_chance_home - o.pts_2nd_chance_away AS second_chance_diff FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Chicago Bulls' AND g.season_id = '22016' ORDER BY ABS(g.pts_home - g.pts_away) ASC LIMIT 1;	-5
Which opponent gave up the most points in the paint to the New York Knicks in a home game during the 2019 season?	SELECT g.team_name_away, o.pts_paint_home FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'New York Knicks' AND g.season_id = '22019' ORDER BY o.pts_paint_home DESC LIMIT 1;	New Orleans Pelicans | 66 
What was the average free throw attempt difference between the Denver Nuggets and their opponents in home games they lost during the 2017 season?	SELECT AVG(fta_home - fta_away) AS avg_fta_diff FROM game WHERE team_name_home = 'Denver Nuggets' AND wl_home = 'L' AND season_id = '22017';	3.9
What is the ratio of team rebounds to total rebounds for the Portland Trail Blazers in their highest scoring home game?	SELECT o.team_rebounds_home * 1.0 / NULLIF(g.reb_home, 0) AS team_to_total_reb_ratio FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Portland Trail Blazers' ORDER BY g.pts_home DESC LIMIT 1;	0.3454545455
What was the highest combined total of second chance points in any game involving the Miami Heat during the 2017 season?	SELECT MAX(o.pts_2nd_chance_home + o.pts_2nd_chance_away) AS max_combined_second_chance FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Miami Heat' OR g.team_name_away = 'Miami Heat') AND g.season_id = '22017';	41
hat is the difference in average home winning percentage between teams founded before 1980 and teams founded after 1980?	SELECT    (SELECT COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*)     FROM game g    JOIN team t ON g.team_id_home = t.id    WHERE t.year_founded < 1980) -   (SELECT COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*)     FROM game g    JOIN team t ON g.team_id_home = t.id    WHERE t.year_founded >= 1980) AS win_pct_diff FROM game LIMIT 1;	7.048616104
What was the highest number of points scored by the Brooklyn Nets in any home game during the 2019 season?	SELECT MAX(pts_home) AS max_points FROM game WHERE team_name_home = 'Brooklyn Nets' AND season_id = '22019';	139
What is the average number of assists per game for the Boston Celtics when playing at home versus away?	SELECT    (SELECT AVG(ast_home) FROM game WHERE team_name_home = 'Boston Celtics') AS avg_home_assists,   (SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Boston Celtics') AS avg_away_assists FROM game LIMIT 1;	24.8868921775899 | 22.7171122994652 
Which team had the best three-point shooting percentage in home games during the 2020 season?	SELECT team_name_home, AVG(fg3_pct_home) AS avg_3pt_pct FROM game WHERE season_id = '22020' GROUP BY team_name_home ORDER BY avg_3pt_pct DESC LIMIT 1;	LA Clippers | 0.423777777777778
What was the total number of blocks recorded by the Milwaukee Bucks in home games during the 2018 season?	SELECT SUM(blk_home) AS total_blocks FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22018';	238
What is the win percentage for the Chicago Bulls in home games where they scored more than 100 points?	SELECT COUNT(CASE WHEN wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game WHERE team_name_home = 'Chicago Bulls' AND pts_home > 100;	75.7531227
Which opponent did the Miami Heat have their largest margin of victory against in a home game?	SELECT team_name_away, MAX(pts_home - pts_away) AS victory_margin FROM game WHERE team_name_home = 'Miami Heat' AND wl_home = 'W' GROUP BY team_name_away ORDER BY victory_margin DESC LIMIT 1;	Los Angeles Clippers | 43.0 
What was the average number of fastbreak points scored by the Los Angeles Lakers in home wins during the 2020 season?	SELECT AVG(o.pts_fb_home) AS avg_fastbreak_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Los Angeles Lakers' AND g.wl_home = 'W' AND g.season_id = '22020';	13.64705882
What is the difference in free throw percentage between the Philadelphia 76ers and their opponents in home games?	SELECT AVG(ft_pct_home - ft_pct_away) AS ft_pct_diff FROM game WHERE team_name_home = 'Philadelphia 76ers';	-0.0004981519507
Which team had the lowest average turnovers per game at home during the 2019 season?	SELECT team_name_home, AVG(tov_home) AS avg_turnovers FROM game WHERE season_id = '22019' GROUP BY team_name_home ORDER BY avg_turnovers ASC LIMIT 1;	Dallas Mavericks | 12.8421052631579 
What was the rebounding differential in games between the Toronto Raptors and Boston Celtics?	SELECT AVG(   CASE      WHEN team_name_home = 'Toronto Raptors' THEN reb_home - reb_away     ELSE reb_away - reb_home   END ) AS avg_reb_diff FROM game WHERE (team_name_home = 'Toronto Raptors' AND team_name_away = 'Boston Celtics')    OR (team_name_home = 'Boston Celtics' AND team_name_away = 'Toronto Raptors');	-0.9302325581
What is the total number of points scored by the Houston Rockets in home games against the Los Angeles Lakers?	SELECT SUM(pts_home) AS total_points FROM game WHERE team_name_home = 'Houston Rockets' AND team_name_away = 'Los Angeles Lakers';	11849
Which team had the highest percentage of points coming from free throws in home games during the 2018 season?	SELECT team_name_home, SUM(ftm_home) * 100.0 / SUM(pts_home) AS ft_points_percentage FROM game WHERE season_id = '22018' GROUP BY team_name_home ORDER BY ft_points_percentage DESC LIMIT 1;	Philadelphia 76ers | 18.8943894389439 
What was the average points in the paint for the Denver Nuggets in games they won versus games they lost at home?	SELECT    AVG(CASE WHEN g.wl_home = 'W' THEN o.pts_paint_home END) AS avg_paint_pts_wins,   AVG(CASE WHEN g.wl_home = 'L' THEN o.pts_paint_home END) AS avg_paint_pts_losses FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Denver Nuggets';	45.465034965035 | 42.1988950276243 
What is the winning percentage of teams that score more points off turnovers than their opponents in home games?	SELECT COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE o.pts_off_to_home > o.pts_off_to_away;	59.39603106
What was the assist-to-turnover ratio for the Golden State Warriors in home games during their 2016 record-breaking season?	SELECT SUM(ast_home) * 1.0 / NULLIF(SUM(tov_home), 0) AS assist_turnover_ratio FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '22016';	2.186356073
What is the average combined score in games where the San Antonio Spurs played at home during the 2019 season?	SELECT AVG(pts_home + pts_away) AS avg_combined_score FROM game WHERE team_name_home = 'San Antonio Spurs' AND season_id = '22019';	227.6764706
What was the field goal percentage difference between the Dallas Mavericks and their opponents in home games they lost by less than 5 points?	SELECT AVG(fg_pct_home - fg_pct_away) AS fg_pct_diff FROM game WHERE team_name_home = 'Dallas Mavericks' AND wl_home = 'L' AND (pts_away - pts_home) < 5;	-0.0273315508
Which team had the highest average second chance points in home games during the 2020 season?	SELECT g.team_name_home, AVG(o.pts_2nd_chance_home) AS avg_second_chance_pts FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22020' GROUP BY g.team_name_home ORDER BY avg_second_chance_pts DESC LIMIT 1;	Minnesota Timberwolves | 15.3793103448276 
What was the largest combined rebound total in any game between the New York Knicks and Brooklyn Nets?	SELECT MAX(reb_home + reb_away) AS max_combined_rebounds FROM game WHERE (team_name_home = 'New York Knicks' AND team_name_away = 'Brooklyn Nets')    OR (team_name_home = 'Brooklyn Nets' AND team_name_away = 'New York Knicks');	110
What was the average three-point shooting percentage for the Los Angeles Lakers in games where they scored over 110 points at home?	SELECT AVG(fg3_pct_home) AS avg_3pt_percentage FROM game WHERE team_name_home = 'Los Angeles Lakers' AND pts_home > 110;	0.3863559823
Which team had the highest free throw shooting percentage in away games during the 2018 season?	SELECT team_name_away, AVG(ft_pct_away) AS avg_ft_pct FROM game WHERE season_id = '22018' GROUP BY team_name_away ORDER BY avg_ft_pct DESC LIMIT 1;	San Antonio Spurs | 0.823804878048781 
What was the average margin of victory for the Toronto Raptors in home games where they had more assists than their opponent?	SELECT AVG(pts_home - pts_away) AS avg_margin FROM game WHERE team_name_home = 'Toronto Raptors' AND wl_home = 'W' AND ast_home > ast_away;	12.98398169
What is the total number of steals recorded by the Miami Heat in games against the Boston Celtics?	SELECT SUM(CASE WHEN team_name_home = 'Miami Heat' THEN stl_home ELSE stl_away END) AS total_steals FROM game WHERE (team_name_home = 'Miami Heat' AND team_name_away = 'Boston Celtics') OR (team_name_home = 'Boston Celtics' AND team_name_away = 'Miami Heat');	1253
Which opponent did the Cleveland Cavaliers have the best rebounding differential against in home games during the 2017 season?	SELECT team_name_away, AVG(reb_home - reb_away) AS reb_diff FROM game WHERE team_name_home = 'Cleveland Cavaliers' AND season_id = '22017' GROUP BY team_name_away ORDER BY reb_diff DESC LIMIT 1;	Phoenix Suns | 18.0 
What was the average number of fastbreak points scored by the Houston Rockets in games they won by more than 15 points at home?	SELECT AVG(o.pts_fb_home) AS avg_fastbreak_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Houston Rockets' AND g.wl_home = 'W' AND (g.pts_home - g.pts_away) > 15;	13.39790576
What is the win percentage for the Golden State Warriors in home games where they made fewer three-pointers than their opponent?	SELECT COUNT(CASE WHEN wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game WHERE team_name_home = 'Golden State Warriors' AND fg3m_home < fg3m_away;	44.95677233
What was the highest combined total of blocks in any game between the Utah Jazz and San Antonio Spurs?	SELECT MAX(blk_home + blk_away) AS total_blocks FROM game WHERE (team_name_home = 'Utah Jazz' AND team_name_away = 'San Antonio Spurs') OR (team_name_home = 'San Antonio Spurs' AND team_name_away = 'Utah Jazz');	26
What is the average difference in points in the paint between the Milwaukee Bucks and their opponents in home games?	SELECT AVG(o.pts_paint_home - o.pts_paint_away) AS avg_paint_diff FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Milwaukee Bucks';	0.5026068822
Which season saw the Philadelphia 76ers record their highest average number of steals per game at home?	SELECT season_id, AVG(stl_home) AS avg_steals FROM game WHERE team_name_home = 'Philadelphia 76ers' GROUP BY season_id ORDER BY avg_steals DESC LIMIT 1;	12021 | 17.0 
What was the shooting percentage from the field for the New York Knicks in their highest scoring home game of the 2019 season?	SELECT fg_pct_home AS shooting_percentage FROM game WHERE team_name_home = 'New York Knicks' AND season_id = '22019' ORDER BY pts_home DESC LIMIT 1;	0.558
What is the average number of lead changes in games where the Chicago Bulls won at home by less than 10 points?	SELECT AVG(o.lead_changes) AS avg_lead_changes FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Chicago Bulls' AND g.wl_home = 'W' AND (g.pts_home - g.pts_away) < 10;	7.84469697
What was the difference in average free throw attempts between the Brooklyn Nets and their opponents in home games during the 2020 season?	SELECT AVG(fta_home - fta_away) AS fta_diff FROM game WHERE team_name_home = 'Brooklyn Nets' AND season_id = '22020';	1.083333333
Which opponent did the Denver Nuggets score the most points against in a single home game?	SELECT team_name_away, MAX(pts_home) AS max_points FROM game WHERE team_name_home = 'Denver Nuggets' GROUP BY team_name_away ORDER BY max_points DESC LIMIT 1;	Detroit Pistons | 184.0 
What is the average combined offensive rebounds for the Oklahoma City Thunder and their opponents in games where the Thunder won at home?	SELECT AVG(oreb_home + oreb_away) AS avg_combined_oreb FROM game WHERE team_name_home = 'Oklahoma City Thunder' AND wl_home = 'W';	21.8691358
What was the largest margin of defeat for the Los Angeles Clippers in any home game during the 2018 season?	SELECT MAX(pts_away - pts_home) AS largest_defeat_margin FROM game WHERE team_name_home = 'LA Clippers' AND pts_away > pts_home AND season_id = '22018';	32
What is the average number of points scored by the Los Angeles Clippers in home games during the 2019 season?	SELECT AVG(pts_home) AS avg_points FROM game WHERE team_name_home = 'LA Clippers' AND season_id = '22019';	117.5277778
When was the Los Angeles Clippers team founded according to the team database?	SELECT year_founded FROM team WHERE full_name = 'Los Angeles Clippers';	1970
What is the win percentage of the Los Angeles Clippers in home games where they scored more than 110 points?	SELECT COUNT(CASE WHEN wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game WHERE team_name_home = 'LA Clippers' AND pts_home > 110;	83.24324324
 How many fastbreak points did the Los Angeles Clippers average in home games during the 2020 season?	SELECT AVG(o.pts_fb_home) AS avg_fastbreak_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'LA Clippers' AND g.season_id = '22020';	11.5
What state are the Los Angeles Clippers based in according to the team table?	SELECT state FROM team WHERE full_name = 'Los Angeles Clippers';	California
What was the three-point shooting percentage for the Los Angeles Clippers in games against the Los Angeles Lakers?	SELECT AVG(   CASE      WHEN team_name_home = 'LA Clippers' THEN fg3_pct_home     ELSE fg3_pct_away   END ) AS avg_3pt_percentage FROM game WHERE (team_name_home = 'LA Clippers' AND team_name_away = 'Los Angeles Lakers')    OR (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'LA Clippers');	0.3734705882
Find all games where the Los Angeles Clippers played against teams founded before 1970.	SELECT g.game_id, g.game_date, g.team_name_home, g.team_name_away FROM game g JOIN team t ON g.team_id_away = t.id WHERE g.team_name_home = 'LA Clippers' AND t.year_founded < 1970  UNION  SELECT g.game_id, g.game_date, g.team_name_home, g.team_name_away FROM game g JOIN team t ON g.team_id_home = t.id WHERE g.team_name_away = 'LA Clippers' AND t.year_founded < 1970 LIMIT 1;	0011500091 | 2015-10-20 00:00:00 | LA Clippers | Golden State Warriors 
What is the abbreviation for the Los Angeles Clippers in the team table?	SELECT abbreviation FROM team WHERE full_name = 'Los Angeles Clippers';	LAC
How many points did the Los Angeles Clippers score in the paint in their highest scoring home game of the 2019 season?	SELECT o.pts_paint_home FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'LA Clippers' AND g.season_id = '22019' ORDER BY g.pts_home DESC LIMIT 1;	58
Which team played the most total games (home + away) between 1995 and 2005?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM game WHERE season_id BETWEEN '21995' AND '22005' UNION ALL SELECT team_abbreviation_away FROM game WHERE season_id BETWEEN '21995' AND '22005') GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	WAS
Which season had the most total turnovers across all games?	SELECT season_id FROM other_stats JOIN game USING(game_id) GROUP BY season_id ORDER BY SUM(total_turnovers_home + total_turnovers_away) DESC LIMIT 1;	21999
Which team has the highest win percentage as a home team?	SELECT team_abbreviation_home FROM game GROUP BY team_abbreviation_home HAVING COUNT(*) > 0 ORDER BY SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END)*1.0 / COUNT(*) DESC LIMIT 1;	MAL
Which season had the highest average free throw percentage for home teams?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(ft_pct_home) DESC LIMIT 1;	21951
Which team had the most games where both teams scored over 110 points?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM game WHERE pts_home > 110 AND pts_away > 110 UNION ALL SELECT team_abbreviation_away FROM game WHERE pts_home > 110 AND pts_away > 110) GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	LAL
Which team had the highest average number of assists per game across all seasons?	SELECT team FROM (SELECT team_abbreviation_home AS team, ast_home AS ast FROM game UNION ALL SELECT team_abbreviation_away, ast_away FROM game) GROUP BY team ORDER BY AVG(ast) DESC LIMIT 1;	DRT
Which city had the most games where the home team won by more than 25 points?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE wl_home = 'W' AND pts_home - pts_away > 25) GROUP BY team_city_home ORDER BY COUNT(*) DESC LIMIT 1;	Golden State
Which team was involved in the most games with more than 15 lead changes?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM other_stats WHERE lead_changes > 15 UNION ALL SELECT team_abbreviation_away FROM other_stats WHERE lead_changes > 15) GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	LAL
Which season had the most games decided by 3 points or fewer?	SELECT season_id FROM game WHERE ABS(pts_home - pts_away) <= 3 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22004
Which team had the most losses in games where they had more rebounds than their opponent?	SELECT team FROM (SELECT team_abbreviation_home AS team FROM game WHERE reb_home > reb_away AND wl_home = 'L' UNION ALL SELECT team_abbreviation_away FROM game WHERE reb_away > reb_home AND wl_away = 'L') GROUP BY team ORDER BY COUNT(*) DESC LIMIT 1;	NYK
Which season had the most average total fouls per game?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(pf_home + pf_away) DESC LIMIT 1;	41963
Which team committed the fewest average personal fouls per game as an away team?	SELECT team_abbreviation_away FROM game GROUP BY team_abbreviation_away ORDER BY AVG(pf_away) ASC LIMIT 1;	DRT
What is the maximum number of team rebounds recorded by the Dallas Mavericks in away games where they committed more than 20 fouls?	SELECT MAX(o.team_rebounds_away) FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_abbreviation_away = 'DAL' AND g.pf_away > 20 AND g.season_id = '22021';	16
How many times did the Golden State Warriors lose at home in the 2012 season despite recording more steals and blocks than their opponent?	SELECT COUNT(*) FROM game g WHERE g.team_abbreviation_home = 'GSW' AND g.wl_home = 'L' AND g.stl_home > g.stl_away AND g.blk_home > g.blk_away AND g.season_id = '22012';	0
How many times did the Los Angeles Clippers lose at home in the 2002 season despite recording more steals and blocks than their opponent?	SELECT COUNT(*) FROM game g WHERE g.team_abbreviation_home = 'LAC' AND g.wl_home = 'L' AND g.stl_home > g.stl_away AND g.blk_home > g.blk_away AND g.season_id = '22002';	4
In games from the 2003 season, how often did the New Orleans Pelicans win despite committing more turnovers and having fewer rebounds than their opponent?	SELECT COUNT(*) FROM game g WHERE ((g.team_abbreviation_home = 'NOP' AND g.wl_home = 'W' AND g.tov_home > g.tov_away AND g.reb_home < g.reb_away) OR (g.team_abbreviation_away = 'NOP' AND g.wl_away = 'W' AND g.tov_away > g.tov_home AND g.reb_away < g.reb_home)) AND g.season_id = '22003';	0
In games from the 2007 season, how often did the Dallas Mavericks win despite committing more turnovers and having fewer rebounds than their opponent?	SELECT COUNT(*) FROM game g WHERE ((g.team_abbreviation_home = 'DAL' AND g.wl_home = 'W' AND g.tov_home > g.tov_away AND g.reb_home < g.reb_away) OR (g.team_abbreviation_away = 'DAL' AND g.wl_away = 'W' AND g.tov_away > g.tov_home AND g.reb_away < g.reb_home)) AND g.season_id = '22007';	2
What is the average number of points off turnovers scored by the Golden State Warriors at home in games with more than 20 lead changes during the 2019 season?	SELECT AVG(o.pts_off_to_home) FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_abbreviation_home = 'GSW' AND o.lead_changes > 20 AND g.season_id = '22019';	
How many times did the Denver Nuggets lose at home in the 2015 season despite recording more steals and blocks than their opponent?	SELECT COUNT(*) FROM game g WHERE g.team_abbreviation_home = 'DEN' AND g.wl_home = 'L' AND g.stl_home > g.stl_away AND g.blk_home > g.blk_away AND g.season_id = '22015';	2
In games from the 2010 season, how often did the Sacramento Kings win despite committing more turnovers and having fewer rebounds than their opponent?	SELECT COUNT(*) FROM game g WHERE ((g.team_abbreviation_home = 'SAC' AND g.wl_home = 'W' AND g.tov_home > g.tov_away AND g.reb_home < g.reb_away) OR (g.team_abbreviation_away = 'SAC' AND g.wl_away = 'W' AND g.tov_away > g.tov_home AND g.reb_away < g.reb_home)) AND g.season_id = '22010';	0
In 2013, what was the average number of rebounds by the Denver Nuggets in games with at least 10 ties and fewer than 10 lead changes?	SELECT AVG(g.reb_home) FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_abbreviation_home = 'DEN' AND o.times_tied >= 10 AND o.lead_changes < 10 AND g.season_id = '22013';	42.666666666666664
What is the total number of points scored by the Los Angeles Clippers in the 2014 season in games where they had more team turnovers but fewer total turnovers than their opponent?	SELECT SUM(g.pts_home) FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_abbreviation_home = 'LAC' AND o.team_turnovers_home > o.team_turnovers_away AND o.total_turnovers_home < o.total_turnovers_away AND g.season_id = '22014';	295.0
Which city hosted the most games that ended with both teams scoring over 100 points?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE pts_home > 100 AND pts_away > 100) GROUP BY team_city_home ORDER BY COUNT(*) DESC LIMIT 1;	Los Angeles
Which city had the most total fast break points in the 2016 season?	SELECT team_city_home FROM other_stats WHERE game_id IN (SELECT game_id FROM game WHERE season_id = '22016') GROUP BY team_city_home ORDER BY SUM(pts_fb_home) DESC LIMIT 1;	Golden State
Which season had the most games decided by exactly 1 point?	SELECT season_id FROM game WHERE ABS(pts_home - pts_away) = 1 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22004
Which season had the most total points scored across all games?	SELECT season_id FROM game GROUP BY season_id ORDER BY SUM(pts_home + pts_away) DESC LIMIT 1;	22022
Which season had the most games where both teams scored at least 120 points?	SELECT season_id FROM game WHERE pts_home >= 120 AND pts_away >= 120 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22022
Which season had the lowest average number of personal fouls committed per game?	SELECT season_id FROM game GROUP BY season_id ORDER BY AVG(pf_home + pf_away) ASC LIMIT 1;	32022
How many points did the Los Angeles Clippers score as visitors in their most turnover-heavy game?	SELECT pts_away FROM game WHERE team_abbreviation_away = 'LAC' ORDER BY tov_away DESC LIMIT 1;	107.0
Which season had the most combined team rebounds recorded?	SELECT season_id FROM other_stats JOIN game USING(game_id) GROUP BY season_id ORDER BY SUM(team_rebounds_home + team_rebounds_away) DESC LIMIT 1;	21997
Which season had the most games where the away team won by more than 30 points?	SELECT season_id FROM game WHERE wl_away = 'W' AND (pts_away - pts_home) > 30 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22021
Which season had the highest average number of times tied per game?	SELECT season_id FROM other_stats JOIN game USING(game_id) GROUP BY season_id ORDER BY AVG(times_tied) DESC LIMIT 1;	32002
Which season had the most games where home teams scored zero fast break points?	SELECT season_id FROM other_stats JOIN game USING(game_id) WHERE pts_fb_home = 0 GROUP BY season_id ORDER BY COUNT(*) DESC LIMIT 1;	22001
Which season had the fewest total three-point attempts attempted league-wide?	SELECT season_id FROM game GROUP BY season_id ORDER BY SUM(fg3a_home + fg3a_away) ASC LIMIT 1;	21946
How many points did the home team score in the game with the fewest total rebounds?	SELECT pts_home FROM game ORDER BY (reb_home + reb_away) ASC LIMIT 1;	66.0
How many points were scored in a game where the home team blocked more shots than they had turnovers?	SELECT (pts_home + pts_away) FROM game WHERE blk_home > tov_home ORDER BY game_date DESC LIMIT 1;	208.0
How many points did the Phoenix Suns score in the highest scoring away game they played?	SELECT MAX(pts_away) FROM game WHERE team_abbreviation_away = 'PHX';	161.0
What were the total points in a game where both teams shot over 50% from the field?	SELECT (pts_home + pts_away) FROM game WHERE fg_pct_home > 0.5 AND fg_pct_away > 0.5 ORDER BY (pts_home + pts_away) DESC LIMIT 1;	374.0
How many points did the home team score in the game with the most second chance points?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats ORDER BY (pts_2nd_chance_home + pts_2nd_chance_away) DESC LIMIT 1);	115.0
How many points did the Los Angeles Lakers score in their last home game?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'LAL' ORDER BY game_date DESC LIMIT 1;	111.0
How many points did the away team score in games where the home team had more rebounds?	SELECT SUM(pts_away) FROM game WHERE reb_home > reb_away;	2702764.0
How many points were scored in the earliest recorded game in the database?	SELECT (pts_home + pts_away) FROM game ORDER BY game_date ASC LIMIT 1;	134.0
What were the total points scored by the home team in the game with the most total blocks?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM game ORDER BY (blk_home + blk_away) DESC LIMIT 1);	92.0
How many points did the Brooklyn Nets score in their first away game in 2010?	SELECT pts_away FROM game WHERE team_abbreviation_away = 'BKN' AND season_id = '22010' ORDER BY game_date ASC LIMIT 1;	[]
How many points did the home team score in the game with the highest number of lead changes?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats ORDER BY lead_changes DESC LIMIT 1);	122.0
How many points did the visiting team score in the game where the home team had exactly 0 turnovers?	SELECT pts_away FROM game WHERE game_id IN (SELECT game_id FROM game WHERE tov_home = 0);	88.0,112.0,105.0,93.0,76.0,99.0
How many points were scored by the away team in the most recent playoff game?	SELECT pts_away FROM game WHERE season_type = 'Playoffs' ORDER BY game_date DESC LIMIT 1;	89.0
How many points did the Miami Heat score in their lowest-scoring game at home?	SELECT MIN(pts_home) FROM game WHERE team_abbreviation_home = 'MIA';	56.0
How many total points were scored in a game where both teams attempted over 30 three-pointers?	SELECT (pts_home + pts_away) FROM game WHERE fg3a_home > 30 AND fg3a_away > 30 ORDER BY (pts_home + pts_away) DESC LIMIT 1;	374.0
How many points were scored by the home team in the game with the most fast break points?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats ORDER BY (pts_fb_home + pts_fb_away) DESC LIMIT 1);	192.0,192.0
How many points did the away team score when the home team had more than 20 offensive rebounds?	SELECT SUM(pts_away) FROM game WHERE game_id IN (SELECT game_id FROM game WHERE oreb_home > 20);	199836.0
How many points did the Chicago Bulls score in their final game of the 1996 season?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'CHI' AND season_id = '21996' ORDER BY game_date DESC LIMIT 1;	101.0
What is the total number of points in a game where the total number of three-pointers made equals the number of personal fouls?	SELECT pts_home + pts_away FROM game WHERE (fg3m_home + fg3m_away) = (pf_home + pf_away) LIMIT 1;	211.0
How many points did the away team score in the only game where the home team had exactly 69 field goal attempts?	SELECT pts_away FROM game WHERE fga_home = 69 LIMIT 1;	81.0
How many total points were scored in the game with the highest difference between team rebounds and individual rebounds for the home team?	SELECT pts_home + pts_away FROM game WHERE game_id = (SELECT os.game_id FROM other_stats os JOIN game g ON os.game_id = g.game_id ORDER BY (team_rebounds_home - reb_home) DESC LIMIT 1);	182.0
What was the total number of points in the game where both teams had the exact same number of personal fouls?	SELECT pts_home + pts_away FROM game WHERE pf_home = pf_away ORDER BY game_date DESC LIMIT 1;	258.0
How many points did the home team score in the game with the most lead changes and the fewest total fouls?	SELECT pts_home FROM game WHERE game_id = (SELECT game_id FROM other_stats JOIN game USING(game_id) ORDER BY lead_changes DESC, (pf_home + pf_away) ASC LIMIT 1);	122.0
How many points did the away team score in a game where both teams made the same number of three-pointers?	SELECT pts_away FROM game WHERE fg3m_home = fg3m_away ORDER BY game_date DESC LIMIT 1;	101.0
How many points were scored in the most recent game where the home team had zero free throw attempts?	SELECT pts_home + pts_away FROM game WHERE fta_home = 0 ORDER BY game_date DESC LIMIT 1;	359.0
How many points did the Brooklyn Nets score as a home team in the game where they had the most blocks?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'BKN' ORDER BY blk_home DESC LIMIT 1;	115.0
How many total points were scored in a game where the away team committed twice as many turnovers as the home team?	SELECT pts_home + pts_away FROM game WHERE tov_away = 2 * tov_home LIMIT 1;	205.0
What was the total number of points in the only game where both teams had fewer than 3 offensive rebounds?	SELECT pts_home + pts_away FROM game WHERE oreb_home < 3 AND oreb_away < 3 ORDER BY game_date DESC LIMIT 1;	211.0
How many points did the Miami Heat score in their lowest scoring home win?	SELECT pts_home FROM game WHERE team_abbreviation_home = 'MIA' AND wl_home = 'W' ORDER BY pts_home ASC LIMIT 1;	74.0
What was the total score of the first game ever where both teams shot over 90% from the free throw line?	SELECT pts_home + pts_away FROM game WHERE ft_pct_home > 0.9 AND ft_pct_away > 0.9 ORDER BY game_date ASC LIMIT 1;	193.0
